t,y_true,lower_0.05,upper_0.95,lower_0.25,upper_0.75
14,110.24,106.34675173772156,116.73040239152957,108.86715290234042,113.93168437527719
15,106.08,103.14707565751415,112.62147135930934,106.31367192040258,109.935980693853
16,112.94,104.76268883596076,116.7228092643384,108.6329806168736,112.3245390305531
17,110.69,106.13212603187256,113.44218158462303,108.3236088545039,111.42702099479727
18,119.37,109.29823086731062,123.31936787985475,113.27180060914661,117.63022625393603
19,137.71,119.42841623493462,149.38226683584568,133.59592383951298,142.87432227374708
20,163.09,151.844962010817,189.91138096371233,164.36881957788745,173.06771130552363
21,162.66,149.74877124479346,174.63842852530246,153.5221182106979,164.6337547810057
