t,n_train_obs,y_true,y_prev,pred_model,pred_naive,pred_ma
14,14,110.24,108.26,107.06126476993352,108.26,108.75
15,15,106.08,110.24,105.78284008393067,110.24,109.40333333333332
16,16,112.94,106.08,110.20882995340662,106.08,108.19333333333333
17,17,110.69,112.94,109.64091543066829,112.94,109.75333333333333
18,18,119.37,110.69,113.76034031159213,110.69,109.90333333333332
19,19,137.71,119.37,137.45922837709261,119.37,114.33333333333333
20,20,163.09,137.71,158.16931905004657,137.71,122.58999999999999
21,21,162.66,163.09,147.97942024184405,163.09,140.0566666666667
