feature,ridge_weight,elasticnet_weight,bayesian_weight,xgb_importance_raw,ensemble_weight
war_risk_premium_idx,0.019326826227954414,0.03670021048487275,0.01902304175643908,0.23482905,0.04305742917238105
int_gpr_congestion,0.02177942879917286,0.09082184309029324,0.02195251570597513,0.01811884,0.042552672232283
brent_usd_bbl,0.013201349952047732,0.0,0.012746798654375285,0.38224396,0.04077295146994625
gpr_index,0.020169013240421592,0.06391181248984476,0.020063128633414654,0.10274164,0.04056395864636527
vessel_idle_capacity_pct_rollmean3,0.019285859428451138,0.05903029418789889,0.019005927447968595,0.034874454,0.03264996069730307
congestion_index_rollstd3,0.019198482444429718,0.0642794729335066,0.019345391582894587,1.3034843e-05,0.03132847769622845
war_risk_premium_idx_rollmean3,0.019729321559973104,0.05656822644696109,0.01957915824566949,0.00017541938,0.029225995987888487
gpr_index_rollstd3,0.017869738873224624,0.05774734549267991,0.017589379140609655,8.0963955e-06,0.028398061489591585
gpr_index_rollmean3,0.01852164294468381,0.044114909799581076,0.018336831024040153,0.034241762,0.027614574346135432
gpr_index_mom1,0.01745779562105555,0.041326009568640014,0.017382640402261066,0.003696994,0.02352364166706389
vessel_idle_capacity_pct,0.017753041777711316,0.04181162499862242,0.01712817110195553,0.0014270275,0.023488835161855612
fbx_composite_legacy_usd_feu,0.01850569333579187,0.030604274555771818,0.018525123709284146,0.012336255,0.021667227890760934
war_risk_premium_idx_lag1,0.01885678593478721,0.03274449535994243,0.01851145396753781,0.00032946715,0.02138969072065759
int_oil_congestion,0.017939395322463046,0.033192339798626354,0.017792391254615722,0.0,0.020999226045407788
vessel_idle_capacity_pct_lag1,0.020293461596338536,0.026557864646095247,0.02021713403431132,0.00020321282,0.02045133050219269
congestion_index,0.018764437558994904,0.028064439355369473,0.018606425700426095,0.00039598343,0.019970329092699142
vessel_idle_capacity_pct_rollstd3,0.021012511121317808,0.01722393514218354,0.021799983125918958,0.00044357643,0.018329537865096526
gpr_index_roc1,0.012833984105497818,0.025662697403157478,0.012105650785554247,0.026354592,0.017683197432892747
war_risk_premium_idx_lag2,0.019231826831374824,0.017764672263090732,0.019823925847004084,0.00011214294,0.01732121420243711
war_risk_premium_idx_rollstd3,0.016332132562841318,0.02380511123509886,0.015665827511986224,0.00025992436,0.017023962412367147
china_pmi_idx,0.015362453750918248,0.024319584961712964,0.015751867360181273,0.0004968086,0.01693185675271542
vessel_idle_capacity_pct_lag2,0.016575328991698886,0.017058211394269746,0.016716918254859173,3.857495e-05,0.015343673261312467
usd_index,0.012761007045566946,0.023570143506096607,0.013134948178501282,0.00088295573,0.015146838055540252
int_chinaexport_idle,0.018919028423738736,0.011827393685022123,0.018069585586648777,0.0,0.014872852716949448
inr_usd_rate_lag2,0.008132246263131929,0.029175481247030014,0.008009506857296116,0.0,0.01380687573822351
inr_usd_rate,0.009359018576220617,0.014759601202695047,0.009045121768282247,0.040939007,0.013624196060470216
gpr_index_lag1,0.017732879157558636,0.008343165410624012,0.01763193710728925,2.6016996e-05,0.01331881916890369
seas_chinese_new_year_prep,0.011415107078824576,0.020381024337337073,0.01060542256456271,0.0,0.012918550637322926
int_warrisk_panama,0.02026754809187788,0.0,0.019973996549330165,0.0019881,0.012431404035361672
inr_usd_rate_rollmean3,0.008735548653399474,0.018953191770869914,0.00847454911553439,0.0,0.011017928431219837
congestion_index_rollmean3,0.01615857480476736,0.0,0.01581695151693787,0.0005677103,0.009790850406655754
congestion_index_lag1,0.015463562529268157,0.0,0.015582107146018752,0.000571527,0.00950787764562178
int_chinapmi_congestion,0.0152840035509232,0.0,0.014923599763754609,0.0,0.00920339979120177
china_pmi_idx_rollmean3,0.01448959744829257,0.0,0.014436877173186017,0.0011847367,0.008914945926063414
gpr_index_lag2,0.0140236822742492,0.0,0.013537136583710613,0.00541896,0.008862949479110082
brent_usd_bbl_rollstd3,0.014880478853926276,0.0,0.014002248192880562,3.52788e-05,0.008802781028205827
inr_usd_rate_lag1,0.008504449091255192,0.011846815301663781,0.008172384623487017,0.0,0.008690346687462894
brent_usd_bbl_lag1,0.013836234992425298,0.0,0.013239252400031369,0.0017039169,0.008395644392297341
brent_usd_bbl_rollmean3,0.013573540547548483,0.0,0.013275432406681623,0.00017086577,0.00819481230947102
china_export_container_idx_lag2,0.008024455032505576,0.009939009880961896,0.007801493450330912,4.064039e-06,0.00785020135181968
int_tradevol_idle,0.013240988823570748,0.0,0.012233414913172877,7.7075994e-05,0.007767955539910943
int_geopolitics_panama,0.012531956264363712,0.0,0.012828721917344027,0.0,0.007726679202280624
war_risk_premium_idx_mom1,0.012686132214910968,0.0,0.012583925109676526,3.520112e-05,0.007702096369766349
brent_usd_bbl_lag2,0.011712864177912065,0.0,0.01209979384080923,0.0,0.00725504137334095
int_usd_oil,0.01195380359917457,0.0,0.011458081730532694,7.720879e-06,0.007133601184813664
usd_index_mom1,0.009496465898543752,0.0,0.009838336580379517,0.0008931844,0.005967566372921565
inr_usd_rate_rollstd3,0.007613134208538276,0.0,0.006516920530687656,0.018694563,0.005912480785058279
usd_index_roc1,0.009342669785378737,0.0,0.009660181152316956,0.0013378856,0.005904667835663504
usd_index_rollmean3,0.0094132638733894,0.0,0.009577476674522915,0.00085304753,0.005859289290093725
seas_eid_al_adha,0.008627028298476572,0.0,0.009804881348607084,0.0,0.005615679987263131
seas_eid_al_fitr,0.0066989699907554975,0.0037579029278001965,0.0071034784117612855,3.6791913e-05,0.005353304449013081
seas_ramadan_tail,0.006698969990755498,0.003667866799282242,0.007103478411761286,5.006547e-05,0.005327014323145627
vessel_idle_capacity_pct_roc1,0.008740244857981472,0.0,0.008205835581461615,0.0002193745,0.005181852917984249
china_pmi_idx_lag1,0.008278884525384165,0.0,0.007844778513463399,0.0,0.0049124227267985125
congestion_index_mom1,0.008170604892662938,0.0,0.00782128467280553,9.874406e-06,0.004873124139417932
inr_usd_rate_mom1,0.007450008034644713,0.0,0.007463609976222342,0.00067016174,0.004601380259864821
usd_index_lag2,0.007194645638082856,0.0,0.007195664260072938,0.0017664572,0.004536208206465478
week_of_year,0.005549100171212741,0.003319026343724508,0.005431368217383267,0.00018572861,0.004372620286326572
inr_usd_rate_roc1,0.007009312927638158,0.0,0.0069846805312432725,0.0,0.004263572820918513
trade_volume_growth_idx_mom1,0.006386430518750378,0.0,0.0070580584278434055,0.0,0.004096154384541098
panama_restriction_idx_mom1,0.005605514255178338,0.0,0.006222539434436583,0.0028685972,0.0038503290355977804
congestion_index_roc1,0.006526619564518192,0.0,0.005863995521662999,0.00017907235,0.003790466469940475
eu_ets_carbon_idx_lag1,0.0061838285077617326,0.0,0.005921994918870232,0.0,0.0036883009762927444
eu_ets_carbon_idx,0.006158968484882575,0.0,0.0058593527794938574,0.0,0.0036616415497423118
seas_us_import_season_tail,0.006082804133705332,0.0,0.005845874487487833,0.0,0.003634329979375033
trade_volume_growth_idx_rollmean3,0.0036710163822593254,0.0,0.0029305386294650134,0.018260159,0.0035814081008990304
eu_ets_carbon_idx_rollmean3,0.006021513344781295,0.0,0.005670086743878011,0.0,0.0035620988760302554
panama_restriction_idx,0.002811063887770964,0.0,0.0025357631634973874,0.02207216,0.003526903487628851
china_pmi_idx_mom1,0.005410471855227235,0.0,0.006043705564197819,0.00034080585,0.0035190671492019167
seas_chinese_new_year,0.0058174552026823995,0.0,0.005222051497389091,0.0,0.0033634245193176512
