t,y_true,lower_0.05,upper_0.95,lower_0.25,upper_0.75
14,110.24,104.37895951970467,115.95729816583507,107.9311718139048,113.35655097366913
15,106.08,103.69492295708879,112.35705928217772,106.08641260075186,109.88196248442803
16,112.94,104.30445013601803,116.97561316265765,108.3580599037294,112.95528638584463
17,110.69,105.25845351893743,113.68670640273078,108.47125528753966,111.10087987996796
18,119.37,110.11325724314402,122.75215424139203,113.63716193468862,117.74354900316006
19,137.71,118.83471814189797,148.6822221901032,133.28215034555166,141.95605975531257
20,163.09,146.51578026801607,190.60521852460735,162.81569780536938,172.57274448710427
21,162.66,149.01733889701026,177.07597359775704,154.75861850535344,162.96083796041265
